Number,Sale.Date,Full Address,Bathrooms,Age,Total$,Land Area m2,Flrm2,Land$,Capital$,Brms,Pirimai,Onekawa,Marewa,Hospital Hill,Bluff Hill,flooding_status,flooding_zone
13738,20/05/2022,108 A Shakespeare Rd,1,0,"$155,000",1511,0,"$150,000","$150,000",0,0,0,0,0,1,0,1
13688,04/05/2022,73 Oak Rd,2,0,"$455,000",691,0,"$350,000","$350,000",4,0,0,0,0,0,1,0
13648,22/04/2022,1 Coronation St,3,0,"$650,000",214,0,"$340,000","$340,000",3,0,0,0,0,0,0,0
13619,11/04/2022,71 Oak Rd,2,0,"$520,000",759,0,"$350,000","$350,000",4,0,0,0,0,0,1,0
13617,11/04/2022,3 A Riverbend Rd,1,0,"$347,500",440,0,"$265,000","$265,000",0,0,1,0,0,0,1,1
13583,30/03/2022,2 B Massey Cr,1,0,"$300,000",544,0,"$165,000","$225,000",0,0,0,1,0,0,0,1
13569,24/03/2022,89 Oak Rd,2,0,"$550,000",639,0,"$380,000","$380,000",4,0,0,0,0,0,0,0
13559,18/03/2022,14 B Moeller St,1,0,"$316,500",240,0,"$240,000","$240,000",0,0,0,0,0,0,0,0
13549,15/03/2022,172 Te Awa Av,3,0,"$320,000",353,0,"$430,000","$430,000",3,0,0,0,0,0,0,0
13550,15/03/2022,172 A Te Awa Av,1,0,"$320,000",353,0,"$260,000","$260,000",0,0,0,0,0,0,0,0
13542,12/03/2022,150 Guppy Rd,1,RB,"$927,000",314,0,"$4,550,000","$4,551,000",5,0,0,0,0,0,1,0
13533,08/03/2022,85 Oak Rd,1,0,"$650,000",2106,0,"$580,000","$580,000",-,0,0,0,0,0,1,0
13505,28/02/2022,18 A Murphy Rd,2,0,"$350,000",355,0,"$23,000","$230,000",0,0,0,0,0,0,0,0
13485,23/02/2022,43 A Meeanee Rd,1,0,"$325,000",234,0,"$220,000","$220,000",0,0,0,0,0,0,0,0
13465,17/02/2022,5 WHANGAEHU PL,2,0,"$400,000",488,0,"$275,000","$275,000",3,0,0,0,0,0,0,0
13450,15/02/2022,96 Eriksen Rd,1,0,"$330,435",360,0,"$255,000","$255,000",-,0,0,0,0,0,0,0
13451,15/02/2022,98 Eriksen Rd,2,0,"$326,087",365,0,"$260,000","$260,000",3,0,0,0,0,0,0,0
13443,13/02/2022,30 A Downing Av,1,0,"$400,000",432,0,"$235,000","$240,000",0,0,0,0,0,0,0,0
13415,08/02/2022,97 A Masefield Av,1,0,"$295,000",442,0,"$190,000","$240,000",0,0,0,0,0,0,1,0
13403,03/02/2022,87 Oak Rd,3,0,"$629,000",626,0,"$385,000","$385,000",4,0,0,0,0,0,1,0
13392,01/02/2022,102 /2 Eriksen Rd,,0,"$365,217",415,0,"$270,000","$270,000",0,0,0,0,0,0,1,0
13393,01/02/2022,94 Eriksen Rd,2,0,"$373,913",423,0,"$270,000","$270,000",3,0,0,0,0,0,1,0
13373,25/01/2022,150 Guppy Rd,1,RB,"$1,270,000",482,0,"$4,550,000","$4,551,000",5,0,0,0,0,0,0,0
13325,24/12/2021,80 Oak Rd,1,0,"$700,000",1710,0,"$580,000","$580,000",-,0,0,0,0,0,0,0
13318,23/12/2021,138 B Te Awa Av,1,0,"$320,000",850,0,"$220,000","$220,000",0,0,0,0,0,0,0,0
13314,23/12/2021,100 Eriksen Rd,1,0,"$365,218",400,0,"$270,000","$270,000",-,0,0,0,0,0,0,0
13315,23/12/2021,102 /3 Eriksen Rd,,0,"$404,347",452,0,"$275,000","$275,000",0,0,0,0,0,0,0,0
13274,15/12/2021,20 WHANGAEHU PL,2,0,"$336,000",558,0,"$285,000","$285,000",3,0,0,0,0,0,0,0
13275,15/12/2021,58 Kenny Rd,2,0,"$580,000",565,0,"$285,000","$285,000",3,0,0,0,0,0,0,0
13223,3/12/2021,92 Eriksen Rd,2,0,"$439,000",410,0,"$270,000","$270,000",3,0,0,0,0,0,1,0
13218,2/12/2021,12 Ridgeway Tc,,0,"$955,000",3777,0,"$600,000","$620,000",0,0,0,0,0,0,1,0
13182,25/11/2021,95 Oak Rd,1,0,"$570,000",1171,0,"$485,000","$485,000",-,0,0,0,0,0,0,0
13114,10/11/2021,150 Guppy Rd,1,RB,"$950,000",322,0,"$4,550,000","$4,551,000",5,0,0,0,0,0,1,0
13099,8/11/2021,29 Kenny Rd,1,0,"$430,000",500,0,"$295,000","$295,000",-,0,0,0,0,0,1,0
13086,4/11/2021,61 Oak Rd,2,0,"$550,000",537,0,"$340,000","$340,000",3,0,0,0,0,0,1,0
13050,28/10/2021,150 Guppy Rd,1,RB,"$950,000",312,0,"$4,550,000","$4,551,000",5,0,0,0,0,0,0,0
13035,26/10/2021,2 B Cornwall Rd,2,0,"$400,000",385,0,"$265,000","$265,000",0,0,0,0,0,0,0,0
13004,19/10/2021,16 GEORGE YEE PL,3,0,"$450,000",414,0,"$275,000","$275,000",3,0,0,0,0,0,0,0
12957,12/10/2021,1 Pelorus Av,2,RB,"$388,008",559,0,"$8,600,000","$8,600,000",3,0,0,0,0,0,1,0
12954,12/10/2021,18 A Caxton St,2,0,"$330,000",419,0,"$245,000","$245,000",0,0,0,0,0,0,1,0
12953,12/10/2021,14 GEORGE YEE PL,2,0,"$391,500",407,0,"$275,000","$275,000",4,0,0,0,0,0,1,0
12951,11/10/2021,7 Wai Whatu St,2,0,"$480,000",549,0,"$305,000","$305,000",3,0,0,0,0,0,1,0
12932,7/10/2021,9 WHANGAEHU PL,2,0,"$360,000",486,0,"$275,000","$275,000",3,0,0,0,0,0,1,0
12922,6/10/2021,150 Guppy Rd,1,RB,"$357,391",435,0,"$4,550,000","$4,551,000",5,0,0,0,0,0,1,0
12925,6/10/2021,11 Rangataiki Pl,2,0,"$370,000",535,0,"$280,000","$280,000",3,0,0,0,0,0,1,0
12909,1/10/2021,1 Alamein Cr,1,0,"$280,000",395,0,"$305,000","$305,000",2,1,0,0,0,0,1,1
12910,1/10/2021,99 A Masefield Av,1,0,"$287,500",485,0,"$195,000","$205,000",0,0,0,0,0,0,1,0
12905,30/09/2021,15 Buchanan St,1,0,"$500,000",1500,0,"$315,000","$315,000",-,0,0,0,0,0,0,0
12900,30/09/2021,1 Pelorus Av,2,RB,"$402,000",533,0,"$8,600,000","$8,600,000",3,0,0,0,0,0,0,0
12901,30/09/2021,80 Pelorus Av,2,0,"$402,000",533,0,"$8,600,000","$8,600,000",4,0,0,0,0,0,0,0
12899,30/09/2021,12 GEORGE YEE PL,2,0,"$427,826",451,0,"$280,000","$280,000",4,0,0,0,0,0,0,0
12888,29/09/2021,1 Pelorus Av,2,RB,"$576,500",647,0,"$8,600,000","$8,600,000",3,0,0,0,0,0,0,0
12880,29/09/2021,9 GEORGE YEE PL,2,0,"$353,260",368,0,"$270,000","$270,000",3,0,0,0,0,0,0,0
12882,29/09/2021,19 GEORGE YEE PL,2,0,"$366,304",408,0,"$275,000","$275,000",3,0,0,0,0,0,0,0
12848,20/09/2021,25 Wai Whatu St,2,0,"$450,000",549,0,"$305,000","$305,000",3,0,0,0,0,0,0,0
12849,20/09/2021,27 Wai Whatu St,2,0,"$391,304",549,0,"$305,000","$305,000",4,0,0,0,0,0,0,0
12839,19/09/2021,150 Guppy Rd,1,RB,"$382,608",414,0,"$4,550,000","$4,551,000",5,0,0,0,0,0,0,0
12834,17/09/2021,69 Hetley Cr,1,0,"$440,000",574,0,"$325,000","$325,000",-,0,0,0,0,0,0,0
12821,15/09/2021,37 Wai Whatu St,1,0,"$450,000",499,0,"$295,000","$295,000",-,0,0,0,0,0,0,0
12800,10/09/2021,51 Wai Whatu St,2,0,"$450,000",43860,0,"$285,000","$285,000",3,0,0,0,0,0,1,0
12784,09/09/2021,65 Wai Whatu St,1,0,"$450,000",449,0,"$285,000","$285,000",-,0,0,0,0,0,1,0
12786,09/09/2021,35 Wai Whatu St,1,0,"$391,305",535,0,"$290,000","$290,000",-,0,0,0,0,0,1,0
12787,09/09/2021,33 Wai Whatu St,2,0,"$450,000",592,0,"$310,000","$310,000",4,0,0,0,0,0,1,0
12762,03/09/2021,66 A Douglas McLean Av,1,0,"$295,000",387,0,"$200,000","$205,000",0,0,0,0,0,0,1,0
12740,28/08/2021,12 A Burness Rd,1,RB,"$293,000",1876,0,"$470,000","$470,000",0,0,0,0,0,0,0,0
12741,28/08/2021,12 C Burness Rd,2,0,"$293,000",1876,0,"$350,000","$350,000",3,0,0,0,0,0,0,0
12708,17/08/2021,2 A Savage Cr,1,0,"$270,000",390,0,"$190,000","$190,000",0,0,0,1,0,0,0,1
12685,10/08/2021,118 Tait Dr,2,0,"$335,500",353,0,"$200,000","$200,000",3,0,0,0,0,0,1,0
12688,10/08/2021,7 Rangataiki Pl,2,0,"$400,000",32000,0,"$300,000","$300,000",4,0,0,0,0,0,1,0
12662,01/08/2021,86 Oak Rd,1,0,"$540,000",2983,0,"$500,000","$500,000",-,0,0,0,0,0,1,0
12648,29/07/2021,4 Charles St,1,0,"$1,650,000",461,0,"$850,000","$850,000",3,0,0,0,0,0,0,0
12643,28/07/2021,21 A Lincoln Rd,1,0,"$600,000",567,0,"$320,000","$320,000",0,0,0,0,1,0,0,1
12636,27/07/2021,1 Pelorus Av,2,RB,"$475,000",791,0,"$8,600,000","$8,600,000",3,0,0,0,0,0,0,0
12637,27/07/2021,10 RUAPEHU RD,2,0,"$475,000",791,0,"$350,000","$350,000",3,0,0,0,0,0,0,0
12543,02/07/2021,28 GEORGE YEE PL,1,0,"$404,347",633,0,"$345,000","$345,000",-,0,0,0,0,0,1,0
12546,02/07/2021,150 Guppy Rd,1,RB,"$378,260",25680,0,"$4,550,000","$4,551,000",5,0,0,0,0,0,1,0
12504,25/06/2021,23 RUAPEHU RD,1,0,"$450,000",569,0,"$320,000","$320,000",3,0,0,0,0,0,0,0
12469,18/06/2021,98 Oak Rd,2,0,"$655,000",692,0,"$670,000","$670,000",4,0,0,0,0,0,0,0
12447,16/06/2021,150 Guppy Rd,1,RB,"$355,652",435,0,"$4,550,000","$4,551,000",5,0,0,0,0,0,0,0
